epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,34373.6,0.50423,0.34414,1.07327,0.98152,0.97424,0.98894,0.92836,0.38112,0.24699,0.86498,0.000665057,0.000665057,0.000665057
56,34991,0.50889,0.35547,1.08066,0.99335,0.97295,0.99223,0.93381,0.36663,0.24121,0.8567,0.000650909,0.000650909,0.000650909
57,35590.8,0.50336,0.34195,1.07513,0.99037,0.96283,0.99222,0.94099,0.3733,0.24714,0.86498,0.000636762,0.000636762,0.000636762
58,36164.5,0.49932,0.33785,1.0707,0.98748,0.97646,0.99328,0.93653,0.37108,0.228,0.86081,0.000622615,0.000622615,0.000622615
59,36740.8,0.49072,0.33796,1.0709,0.99711,0.96506,0.99328,0.93259,0.38761,0.23517,0.86848,0.000608468,0.000608468,0.000608468
60,37324.1,0.48738,0.33377,1.0673,0.98475,0.96671,0.99351,0.9415,0.36592,0.23515,0.8501,0.000594321,0.000594321,0.000594321
61,37907.4,0.48998,0.32991,1.06016,0.99618,0.98046,0.99346,0.94443,0.3592,0.22513,0.83996,0.000580174,0.000580174,0.000580174
62,38464.7,0.47947,0.31832,1.05907,0.99368,0.97835,0.9941,0.9365,0.37448,0.22126,0.85074,0.000566027,0.000566027,0.000566027
63,39113.1,0.48722,0.3208,1.06789,0.98559,0.97398,0.99306,0.94989,0.33906,0.22768,0.82704,0.00055188,0.00055188,0.00055188
64,39757.3,0.48752,0.32027,1.06538,0.99375,0.98115,0.99408,0.94328,0.36312,0.20403,0.84443,0.000537733,0.000537733,0.000537733
65,40453.9,0.48275,0.32455,1.06127,0.98353,0.98334,0.99331,0.94914,0.34779,0.20786,0.83735,0.000523586,0.000523586,0.000523586
66,41011.1,0.4758,0.31718,1.05859,0.98934,0.9874,0.99305,0.94674,0.34679,0.20904,0.83232,0.000509438,0.000509438,0.000509438
67,41551.4,0.47049,0.30713,1.05552,0.993,0.98331,0.99329,0.94737,0.35252,0.20333,0.83186,0.000495291,0.000495291,0.000495291
68,42129.5,0.46924,0.30651,1.05711,0.98892,0.9772,0.99241,0.9515,0.34064,0.22375,0.82875,0.000481144,0.000481144,0.000481144
69,42733.9,0.4722,0.30302,1.05845,0.99115,0.97895,0.99359,0.94617,0.34122,0.20413,0.82932,0.000466997,0.000466997,0.000466997
70,43277.2,0.47577,0.3068,1.05615,0.98404,0.98148,0.99235,0.94596,0.34286,0.21099,0.82882,0.00045285,0.00045285,0.00045285
71,43960.3,0.47307,0.30674,1.06221,0.99616,0.98577,0.99437,0.94445,0.34971,0.20108,0.83294,0.000438703,0.000438703,0.000438703
72,44509.2,0.46726,0.30194,1.0502,0.99501,0.97666,0.99372,0.94545,0.33616,0.19781,0.82135,0.000424556,0.000424556,0.000424556
73,45082.2,0.46674,0.30255,1.05385,0.99106,0.99218,0.99402,0.94378,0.35381,0.19675,0.83646,0.000410409,0.000410409,0.000410409
74,45551.8,0.4635,0.29595,1.05706,0.99515,0.98413,0.99448,0.94947,0.335,0.19488,0.81868,0.000396262,0.000396262,0.000396262
75,46163.4,0.46554,0.29275,1.05515,0.99697,0.98067,0.99409,0.94483,0.33208,0.19571,0.81719,0.000382115,0.000382115,0.000382115
76,46766.8,0.45759,0.28745,1.0545,0.99547,0.98268,0.99248,0.9459,0.33727,0.20103,0.82094,0.000367967,0.000367967,0.000367967
77,47356.9,0.45394,0.28058,1.04547,0.99631,0.98813,0.99466,0.95063,0.33497,0.19096,0.81805,0.00035382,0.00035382,0.00035382
78,47902.6,0.46021,0.28103,1.05205,0.97738,0.98971,0.99364,0.95467,0.33149,0.19897,0.81599,0.000339673,0.000339673,0.000339673
79,48467.5,0.45136,0.28326,1.03998,0.99406,0.97914,0.99411,0.95062,0.32806,0.18881,0.81274,0.000325526,0.000325526,0.000325526
80,48989.4,0.45307,0.28029,1.04614,0.99611,0.98413,0.99416,0.95446,0.32346,0.18618,0.80738,0.000311379,0.000311379,0.000311379
81,49586.7,0.44528,0.28229,1.04327,0.99452,0.98144,0.99416,0.9527,0.33201,0.19093,0.81647,0.000297232,0.000297232,0.000297232
82,50092.8,0.45189,0.27778,1.04417,0.99304,0.98487,0.99395,0.95143,0.33555,0.19199,0.81897,0.000283085,0.000283085,0.000283085
83,50721.1,0.44594,0.27135,1.04335,0.99852,0.98863,0.99483,0.95401,0.33192,0.18185,0.81657,0.000268938,0.000268938,0.000268938
84,51407.8,0.43667,0.26742,1.0364,0.99234,0.98489,0.99372,0.95176,0.32688,0.18503,0.81149,0.000254791,0.000254791,0.000254791
85,51980.5,0.44129,0.27333,1.04093,0.99352,0.9812,0.99412,0.95742,0.33123,0.18325,0.81586,0.000240644,0.000240644,0.000240644
86,52632.7,0.43467,0.26207,1.03388,0.99493,0.98146,0.99377,0.95568,0.34028,0.18808,0.82824,0.000226497,0.000226497,0.000226497
87,53274.3,0.43967,0.26549,1.03745,0.99258,0.98117,0.99301,0.95689,0.3266,0.18044,0.8098,0.000212349,0.000212349,0.000212349
88,53829,0.43425,0.26265,1.03261,0.99778,0.98243,0.99338,0.95526,0.32423,0.18267,0.80925,0.000198202,0.000198202,0.000198202
89,54428.3,0.4277,0.25656,1.03054,0.9951,0.9793,0.99391,0.95486,0.31478,0.18566,0.80182,0.000184055,0.000184055,0.000184055
90,55115.5,0.42751,0.25784,1.02858,0.99314,0.98115,0.99329,0.95427,0.31768,0.18861,0.8043,0.000169908,0.000169908,0.000169908
91,55781.9,0.30671,0.17219,0.98686,0.99761,0.97992,0.9937,0.95156,0.32471,0.18967,0.81378,0.000155761,0.000155761,0.000155761
92,56358.9,0.29777,0.16402,0.97391,0.99479,0.98456,0.99345,0.95486,0.32412,0.19084,0.81089,0.000141614,0.000141614,0.000141614
93,56964.6,0.29376,0.16103,0.98351,0.98592,0.9844,0.99389,0.95465,0.32152,0.18343,0.80741,0.000127467,0.000127467,0.000127467
94,57559.8,0.2876,0.15405,0.96908,0.99819,0.97513,0.99411,0.95628,0.31684,0.1817,0.79973,0.00011332,0.00011332,0.00011332
95,58178.3,0.28614,0.15614,0.96491,0.99187,0.9808,0.99346,0.95042,0.32473,0.18919,0.80873,9.91726e-05,9.91726e-05,9.91726e-05
96,58819.8,0.28065,0.15249,0.95976,0.99459,0.98038,0.99434,0.95566,0.31692,0.17817,0.80183,8.50255e-05,8.50255e-05,8.50255e-05
97,59441.5,0.28099,0.14521,0.96211,0.99516,0.98552,0.99443,0.95318,0.31461,0.17397,0.79601,7.08784e-05,7.08784e-05,7.08784e-05
98,60127.6,0.27599,0.14564,0.96432,0.99914,0.98453,0.99433,0.95666,0.31183,0.17278,0.79569,5.67313e-05,5.67313e-05,5.67313e-05
99,60757.4,0.27085,0.14187,0.95697,0.98924,0.98402,0.99413,0.95367,0.31532,0.17976,0.80095,4.25842e-05,4.25842e-05,4.25842e-05
100,61350.1,0.26682,0.14142,0.95227,0.99445,0.98486,0.99433,0.95805,0.31406,0.17415,0.79751,2.84371e-05,2.84371e-05,2.84371e-05
